epoch,train_loss,train_top1,train_eval_loss,train_eval_top1,val_loss,val_top1,time_s
1,0.176865,93.8338,0.092452,97.7178,0.083176,97.6,249.032
2,0.101837,96.5766,0.044775,98.817,0.058071,98.0,319.512
3,0.066346,97.6445,0.026868,99.3614,0.042068,98.4,319.85
4,0.05781,98.0004,0.018997,99.5708,0.037364,98.4,307.203
5,0.042708,98.5448,0.015722,99.5603,0.043154,98.4,309.469
6,0.040432,98.6495,0.012573,99.665,0.040055,98.4,307.207
7,0.034356,98.9008,0.009779,99.7592,0.039667,98.0,309.161
8,0.029502,98.995,0.009128,99.7592,0.043217,98.0,312.921
