epoch,train_loss,train_top1,train_eval_loss,train_eval_top1,val_loss,val_top1,time_s
1,0.177126,93.7395,0.092484,97.7387,0.08316,97.6,243.036
2,0.102382,96.5243,0.044416,98.7961,0.057665,98.0,309.911
3,0.066787,97.6549,0.026711,99.3509,0.042153,98.4,310.283
4,0.057447,98.0528,0.019062,99.508,0.036436,98.4,310.355
5,0.042432,98.5657,0.016108,99.5812,0.04196,98.4,311.427
6,0.040799,98.639,0.013638,99.6231,0.03718,98.4,310.668
7,0.034216,98.8484,0.009934,99.7278,0.03662,98.0,310.638
8,0.029787,99.0159,0.008861,99.7383,0.039797,98.0,309.952
